"","Discipline","Description of Finding","Original Report","Replication Report"
"...370",NA,"sunk cost effect (paid vs. free…","Oppenheimer, D. M., Meyvis, T., & Davidenko, N. (2009). Instructional manipulation checks: Detecting satisficing to increase statistical power. Journal of experimental social psychology, 45(4), 867-872. Study 1","Klein, R. A., Ratliff, K. A., Vianello, M., Adams, R. B., Bahník, Š., Bernstein, M. J., Bocian, K., Brandt, M. J., Brooks, B. S., Brumbaugh, C. C., Cemalcılar, Z., Chandler, J., Cheong, W., Davis, W. E., Devos, T., Eisner, M., Frankowska, N., Furrow, D., Galliani, E. M., . . . Nosek, B. A. (2014). Investigating variation in replicability. Social Psychology, 45(3), 142–152. Study 1"
"...418",NA,"scale options anchoring effect","Schwarz, N., Hippler, H. J., Deutsch, B., & Strack, F. (1985).Response scales: Effects of category range on reportedbehavior  and  comparative  judgments.Public  OpinionQuarterly, 49, 388–395. Study 1 ","Klein, R. A., Ratliff, K. A., Vianello, M., Adams, R. B., Bahník, Š., Bernstein, M. J., Bocian, K., Brandt, M. J., Brooks, B. S., Brumbaugh, C. C., Cemalcılar, Z., Chandler, J., Cheong, W., Davis, W. E., Devos, T., Eisner, M., Frankowska, N., Furrow, D., Galliani, E. M., . . . Nosek, B. A. (2014). Investigating variation in replicability. Social Psychology, 45(3), 142–152. Study 1 "
"...689",NA,"imagined contact effect","Husnu, S., & Crisp, R. J. (2010). Elaboration enhances the imagined contact effect. Journal of Experimental Social Psychology, 46(6), 943-950. Study 1","Klein, R. A., Ratliff, K. A., Vianello, M., Adams, R. B., Bahník, Š., Bernstein, M. J., Bocian, K., Brandt, M. J., Brooks, B. S., Brumbaugh, C. C., Cemalcılar, Z., Chandler, J., Cheong, W., Davis, W. E., Devos, T., Eisner, M., Frankowska, N., Furrow, D., Galliani, E. M., . . . Nosek, B. A. (2014). Investigating variation in replicability. Social Psychology, 45(3), 142–152. "
"...690",NA,"weight-importance effect","Jostmann, N. B., Lakens, D., & Schubert, T. W. (2009). Weight as an embodiment of importance. Psychological science, 20(9), 1169-1174. Study 2","Ebersole, C. R., Atherton, O. E., Belanger, A. L., Skulborstad, H. M., Allen, J., Banks, J., Baranski, E., Bernstein, M. J., Bonfiglio, D. B. V., Boucher, L., Brown, E. R., Budiman, N. I., Cairo, A. H., Capaldi, C. A., Chartier, C. R., Chung, J. M., Cicero, D. C., Coleman, J. A., Conway, J., . . . Nosek, B. A. (2016). Many Labs 3: Evaluating participant pool quality across the academic semester via replication. Journal Of Experimental Social Psychology, 67, 68–82."
"...692",NA,"weight-importance effect","Jostmann, N. B., Lakens, D., & Schubert, T. W. (2009). Weight as an embodiment of importance. Psychological science, 20(9), 1169-1174. Study 2","Ebersole, C. R., Atherton, O. E., Belanger, A. L., Skulborstad, H. M., Allen, J., Banks, J., Baranski, E., Bernstein, M. J., Bonfiglio, D. B. V., Boucher, L., Brown, E. R., Budiman, N. I., Cairo, A. H., Capaldi, C. A., Chartier, C. R., Chung, J. M., Cicero, D. C., Coleman, J. A., Conway, J., . . . Nosek, B. A. (2016). Many Labs 3: Evaluating participant pool quality across the academic semester via replication. Journal Of Experimental Social Psychology, 67, 68–82. Study 1"
"...712",NA,"warmer-heart-warmer-room effect","Szymkow, A., Chandler, J., IJzerman, H., Parzuchowski, M., & Wojciszke, B. (2013). Warmer hearts, warmer rooms. Social Psychology. Study 1","Ebersole, C. R., Atherton, O. E., Belanger, A. L., Skulborstad, H. M., Allen, J., Banks, J., Baranski, E., Bernstein, M. J., Bonfiglio, D. B. V., Boucher, L., Brown, E. R., Budiman, N. I., Cairo, A. H., Capaldi, C. A., Chartier, C. R., Chung, J. M., Cicero, D. C., Coleman, J. A., Conway, J., . . . Nosek, B. A. (2016). Many Labs 3: Evaluating participant pool quality across the academic semester via replication. Journal Of Experimental Social Psychology, 67, 68–82. Study 1    "
"...714",NA,"warmer-heart-warmer-room effect","Szymkow, A., Chandler, J., IJzerman, H., Parzuchowski, M., & Wojciszke, B. (2013). Warmer hearts, warmer rooms. Social Psychology. Study 1","Ebersole, C. R., Atherton, O. E., Belanger, A. L., Skulborstad, H. M., Allen, J., Banks, J., Baranski, E., Bernstein, M. J., Bonfiglio, D. B. V., Boucher, L., Brown, E. R., Budiman, N. I., Cairo, A. H., Capaldi, C. A., Chartier, C. R., Chung, J. M., Cicero, D. C., Coleman, J. A., Conway, J., . . . Nosek, B. A. (2016). Many Labs 3: Evaluating participant pool quality across the academic semester via replication. Journal Of Experimental Social Psychology, 67, 68–82. Study 2    "
"...755",NA,"self-esteem and event valence on…","Ross, M., & Wilson, A. E. (2002). It feels like yesterday: self-esteem, valence of personal past experiences, and judgments of subjective distance. Journal of personality and social psychology, 82(5), 792. Study 2","Ebersole, C. R., Atherton, O. E., Belanger, A. L., Skulborstad, H. M., Allen, J., Banks, J., Baranski, E., Bernstein, M. J., Bonfiglio, D. B. V., Boucher, L., Brown, E. R., Budiman, N. I., Cairo, A. H., Capaldi, C. A., Chartier, C. R., Chung, J. M., Cicero, D. C., Coleman, J. A., Conway, J., . . . Nosek, B. A. (2016). Many Labs 3: Evaluating participant pool quality across the academic semester via replication. Journal Of Experimental Social Psychology, 67, 68–82. Study 2"
"...794",NA,"availability heuristic (word frequency)","Tversky, A., & Kahneman, D. (1973). Availability: A heuristic for judging frequency and probability. Cognitive psychology, 5(2), 207-232. Study 3","Ebersole, C. R., Atherton, O. E., Belanger, A. L., Skulborstad, H. M., Allen, J., Banks, J., Baranski, E., Bernstein, M. J., Bonfiglio, D. B. V., Boucher, L., Brown, E. R., Budiman, N. I., Cairo, A. H., Capaldi, C. A., Chartier, C. R., Chung, J. M., Cicero, D. C., Coleman, J. A., Conway, J., . . . Nosek, B. A. (2016). Many Labs 3: Evaluating participant pool quality across the academic semester via replication. Journal Of Experimental Social Psychology, 67, 68–82. "
"...835",NA,"verbal overshadowing effect…","Schooler, J. W., & Engstler-Schooler, T. Y. (1990). Verbal overshadowing of visual memories: Some things are better left unsaid. Cognitive psychology, 22(1), 36-71. Study 4","Alogna, V. K., Attaya, M. K., Aucoin, P., Bahník, Š., Birch, S., Birt, A. R., Bornstein, B. H., Bouwmeester, S., Brandimonte, M. A., Brown, C., Buswell, K., Carlson, C., Carlson, M., Chu, S., Cislak, A., Colarusso, M., Colloff, M. F., Dellapaolera, K. S., Delvenne, J.-F., … Zwaan, R. A. (2014). Registered Replication Report: Schooler and Engstler-Schooler (1990). Perspectives on Psychological Science, 9(5), 556-578. Study 1"
"...864",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 1    "
"...865",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 2    "
"...866",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 3    "
"...867",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 4    "
"...868",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 5    "
"...869",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 6    "
"...870",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 7    "
"...871",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 8    "
"...872",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 9    "
"...873",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 10    "
"...874",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 11    "
"...875",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 12    "
"...876",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 13    "
"...877",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 14    "
"...878",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 15    "
"...879",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 16    "
"...880",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 17    "
"...881",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 18    "
"...882",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 19    "
"...883",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 20    "
"...884",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 21    "
"...885",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 22    "
"...886",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 23    "
"...887",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 24    "
"...888",NA,"RRR10: moral reminder (10…","Mazar N., Amir O., Ariely D. (2008). The dishonesty of honest people: A theory of self-concept maintenance. Journal of Marketing Research, 45, 633–644. Study 1","Verschuere, B., Bogaard, G., & Meijer, E. H. (2020). Discriminating deceptive from truthful statements using the verifiability approach: A meta‐analysis. Applied Cognitive Psychology, 35(2), 374–384. Sample 25    "
"...889",NA,"verbal overshadowing effect","Schooler, J. W., & Engstler-Schooler, T. Y. (1990). Verbal overshadowing of visual memories: Some things are better left unsaid. Cognitive psychology, 22(1), 36-71. Study 1","Alogna, V. K., Attaya, M. K., Aucoin, P., Bahník, Š., Birch, S., Birt, A. R., Bornstein, B. H., Bouwmeester, S., Brandimonte, M. A., Brown, C., Buswell, K., Carlson, C., Carlson, M., Chu, S., Cislak, A., Colarusso, M., Colloff, M. F., Dellapaolera, K. S., Delvenne, J.-F., … Zwaan, R. A. (2014). Registered Replication Report: Schooler and Engstler-Schooler (1990). Perspectives on Psychological Science, 9(5), 556-578. Study 2"
"...911",NA,"verbal overshadowing effect","Schooler, J. W., & Engstler-Schooler, T. Y. (1990). Verbal overshadowing of visual memories: Some things are better left unsaid. Cognitive psychology, 22(1), 36-71. Study 1","Alogna, V. K., Attaya, M. K., Aucoin, P., Bahník, Š., Birch, S., Birt, A. R., Bornstein, B. H., Bouwmeester, S., Brandimonte, M. A., Brown, C., Buswell, K., Carlson, C., Carlson, M., Chu, S., Cislak, A., Colarusso, M., Colloff, M. F., Dellapaolera, K. S., Delvenne, J.-F., … Zwaan, R. A. (2014). Registered Replication Report: Schooler and Engstler-Schooler (1990). Perspectives on Psychological Science, 9(5), 556-578. Study 2    "
"...912",NA,"grammar on intentionality effect…","Hart, W., & Albarracín, D. (2011). Learning about what others were doing: Verb aspect and attributions of mundane and criminal intent for past actions. Psychological Science, 22, 261–266. Study 3","Eerland, A., Sherrill, A. M., Magliano, J. P., Zwaan, R. A., Arnal, J. D., Aucoin, P., . . . Prenoveau, J. M. (2016). Registered replication report: Hart & Albarracín (2011). Perspectives on Psychological Science, 11, 158–171.    "
"...922",NA,"grammar on intentionality effect…","Hart, W., & Albarracín, D. (2011). Learning about what others were doing: Verb aspect and attributions of mundane and criminal intent for past actions. Psychological Science, 22, 261–266. Study 3","Eerland, A., Sherrill, A. M., Magliano, J. P., Zwaan, R. A., Arnal, J. D., Aucoin, P., . . . Prenoveau, J. M. (2016). Registered replication report: Hart & Albarracín (2011). Perspectives on Psychological Science, 11, 158–171.    "
"...923",NA,"grammar on intentionality effect…","Hart, W., & Albarracín, D. (2011). Learning about what others were doing: Verb aspect and attributions of mundane and criminal intent for past actions. Psychological Science, 22, 261–266. Study 3","Ferretti, E. (2016). Educazione in gioco. In library.oapen.org. Edizioni Casagrande. "
"...924",NA,"ego depletion effect","Sripada, C., Kessler, D., & Jonides, J. (2014). Methylphenidate blocks effort-induced depletion of regulatory control in healthy volunteers. Psychological science, 25(6), 1227-1234.","Hagger, M. S., Chatzisarantis, N. L. D., Alberts, H., Anggono, C. O., Batailler, C., Birt, A. R., . . . Zwienenberg, M. (2016). A multilab preregistered replication of the ego-depletion effect. Perspectives on Psychological Science, 11, 546–573."
"...931",NA,"professor priming","Dijksterhuis, A., & Van Knippenberg, A. (1998). The relation between perception and behavior, or how to win a game of trivial pursuit. Journal of personality and social psychology, 74(4), 865. Study 4","O’Donnell, M., Nelson, L. D., Ackermann, E., Aczel, B., Akhtar, A., Aldrovandi, S., Alshaif, N., Andringa, R., Aveyard, M., Babincak, P., Balatekin, N., Baldwin, S. A., Banik, G., Baskin, E., Bell, R., Białobrzeska, O., Birt, A. R., Boot, W. R., Braithwaite, S. R., … Zrubka, M. (2018). Registered Replication Report: Dijksterhuis and van Knippenberg (1998). Perspectives on Psychological Science, 13(2), 268-294."
"...932",NA,"RRR9: hostility priming increases…","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 1)"
"...933",NA,"RRR9: hostility priming increases…","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 2)"
"...934",NA,"RRR9: hostility priming increases…","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 3)"
"...935",NA,"RRR9: hostility priming increases…","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 4)"
"...936",NA,"RRR9: hostility priming increases…","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 5)"
"...937",NA,"RRR9: hostility priming increases…","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 6)"
"...938",NA,"RRR9: hostility priming increases…","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 7)"
"...939",NA,"RRR9: hostility priming increases…","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 8)"
"...940",NA,"RRR9: hostility priming increases…","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 9)"
"...941",NA,"RRR9: hostility priming increases…","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 10)"
"...942",NA,"RRR9: hostility priming increases…","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 11)"
"...943",NA,"RRR9: hostility priming increases…","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 12)"
"...944",NA,"RRR9: hostility priming increases…","Srull T. K., Wyer R. S. (1979). The role of category accessibility in the interpretation of information about persons: Some determinants and implications. Journal of Personality and Social Psychology, 37, 1660–1672. Study 1","McCarthy, R. J., Skowronski, J. J., Verschuere, B., Meijer, E. H., Jim, A., Hoogesteyn, K., Orthey, R., Acar, O. A., Aczél, B., Bakos, B. E., Barbosa, F., Baskin, E., Bègue, L., Ben‐Shakhar, G., Birt, A. R., Blatz, L., Charman, S. D., Claesen, A., Clay, S. L., . . . Yıldız, E. P. (2018). Registered Replication Report on Srull and Wyer (1979). Advances in Methods and Practices in Psychological Science, 1(3). (sample 13)"
